Iteration No,fo,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
15,1000000000.0,0.0015695122663044216,0.00011687769959889416,169.79635686917388,365.189023882817,1000,9.697052844443825e-10,1.0674842478569504e-11,27,
16,1000000000.0,0.0015633854135875171,0.00011886300368389723,170.09565124754715,373.39360395271547,1000,9.063697918786292e-10,1.0693831244198397e-11,27,
17,1000000000.0,0.0015584190592570191,0.00012140980202182947,170.72500515716322,382.1873344871377,1000,8.526341481507886e-10,1.0714559453760033e-11,27,
18,1000000000.0,0.0015471763644270373,0.00012374202361376853,171.4628217211186,390.17766139137103,1000,8.066953570939586e-10,1.0736804664945962e-11,27,
19,1000000000.0,0.0015321450303211722,0.00012611277642051417,172.33759646040235,397.6961898375511,1000,7.671473861108801e-10,1.0759878058170933e-11,27,
20,1000000000.0,0.0015151354115520513,0.0001277594729798289,173.3624019777542,404.99146246123274,1000,7.328823645365441e-10,1.0783287966199452e-11,27,
21,1000000000.0,0.0014967921721695306,0.00012996206758724723,174.52907315559762,412.1494840645047,1000,7.029609762396131e-10,1.080681350611242e-11,27,
22,1000000000.0,0.0014779500533755334,0.00013195375793336638,175.83359071289968,419.27025939226894,1000,6.80409168000706e-10,1.0829781587084083e-11,27,
23,1000000000.0,0.0014589283435385739,0.0001340063646148988,177.24667736466455,426.34495587087827,1000,6.603740664428156e-10,1.0852666720541222e-11,27,
24,1000000000.0,0.0014400371667275423,0.00013537535130141054,178.76166379832569,433.4183739762388,1000,6.424993913993733e-10,1.0875309000875855e-11,27,
25,1000000000.0,0.0014210905977249124,0.0001373021938016012,180.3646196376056,440.4579552063617,1000,6.264442953573911e-10,1.0897898830222195e-11,27,
26,1000000000.0,0.0014023708081295162,0.00013903384906982695,182.05141962122698,447.4939039924864,1000,6.085370719524523e-10,1.0920292196001858e-11,27,
27,1000000000.0,0.001383873303441826,0.00014083737298765313,183.8295158366682,454.5584902548145,1000,5.924404550165491e-10,1.0942460389159761e-11,27,
28,1000000000.0,0.001365603177444236,0.0001424445621423975,185.68873692158775,461.6455116763785,1000,5.812448115178731e-10,1.0964886961727342e-11,27,
29,1000000000.0,0.0013476332052322468,0.00014354620464524626,187.60560175282927,468.7159973922949,1000,5.710098653801242e-10,1.0987152992184294e-11,27,
30,1000000000.0,0.001329886672763609,0.0001452034934266101,189.57067662838878,475.76048635576933,1000,5.61611233332587e-10,1.1009222520161257e-11,27,
31,1000000000.0,0.0013125236723640116,0.0001466691532886764,191.58584451606148,482.8078471467428,1000,5.529763670182262e-10,1.1031173074996005e-11,27,
32,1000000000.0,0.0012850171137622887,0.00014836249755311248,193.58184970617813,487.5735629379558,1000,5.450253963250579e-10,1.1052424629924986e-11,27,
33,1000000000.0,0.001288752230172962,0.0001493117949937059,195.8305287360072,502.9044197396757,1000,5.345058611505878e-10,1.1072050051926204e-11,27,
34,1000000000.0,0.0012617112012953916,0.0001506861354107254,197.725123824685,506.795894139621,1000,5.279281429389584e-10,1.1095801444629193e-11,27,
35,1000000000.0,0.0012364330276626344,0.0001522763764264262,199.82733734118892,510.5815750028594,1000,5.187407854434385e-10,1.1116696688049642e-11,27,
36,1000000000.0,0.0012244971214300962,0.000153112196077235,202.19012908246773,518.7097783861175,1000,5.102780482697145e-10,1.1136363977273605e-11,27,
37,1000000000.0,0.0012244320189998077,0.00015432392599699023,204.5281209417582,533.0426805308531,1000,5.054789682720793e-10,1.1156520796072469e-11,27,
38,1000000000.0,0.001197734503257539,0.00015513554124446294,206.54432506998234,536.1151385414349,1000,4.979296398809379e-10,1.1179893707140238e-11,27,
39,1000000000.0,0.0011898226683738512,0.00015645259027778153,208.85586588400272,546.9576204558177,1000,4.909304089096794e-10,1.1201295750326908e-11,27,
40,1000000000.0,0.0011635805345115238,0.00015765920480486625,211.01992593835985,549.5114567453275,1000,4.873927643830754e-10,1.1223834624259123e-11,27,
